NOME,PONTOS,JOGOS,VITORIAS,EMPATES,DERROTAS,SALDO,GP,GC,APROVEITAMENTO
Palmeiras,62,34,18,8,8,26,56,30,61
Botafogo,60,33,18,6,9,23,53,30,61
Gremio,59,34,18,5,11,7,57,50,58
Bragantino,59,33,16,11,6,17,46,29,60
Atletico Mineiro,57,34,16,9,9,16,43,27,56
Flamengo,57,33,16,9,8,13,50,37,58
Atletico Paranaense,51,34,13,12,9,8,47,39,50
Fluminense,47,33,13,8,12,1,43,42,47
Cuiaba,47,34,13,8,13,1,36,35,46
Sao Paulo,46,33,12,10,11,2,37,35,46
Corinthians,44,34,10,14,10,0,39,39,43
Fortaleza,43,32,12,7,13,-1,36,37,45
Internacional,43,34,11,10,13,-5,38,43,42
Santos,42,34,11,9,14,-18,37,55,41
Vasco,40,33,11,7,15,-8,35,43,40
Bahia,38,34,10,8,16,-8,39,47,37
Cruzeiro,37,32,9,10,13,1,29,28,39
Goias,35,34,8,11,15,-15,34,49,34
Coritiba,29,34,8,5,21,-28,39,67,28
America MG,21,34,4,9,21,-32,39,71,21
